Iteracion,throughput_avg
0,0.000000
1,0.040960
2,0.376832
3,1.204770
4,2.358204
5,3.005918
6,4.389819
7,4.992751
8,6.154922
9,6.836498
10,7.952248
11,8.596685
12,9.695505
13,9.894299
14,10.925397
15,11.487916
16,12.841233
17,13.218065
18,14.514039
19,14.909439
20,16.434244
21,16.905012
22,18.208632
23,18.208632
24,19.338583
25,19.338583
26,20.708828
27,20.847004
28,22.094370
29,22.094370
30,23.278387
31,23.626274
32,24.928802
33,25.488039
34,26.727770
35,27.432825
36,28.692753
37,29.301146
38,30.605310
39,30.644085
40,31.914394
